,CLUES,NOMBRE DE LA ENTIDAD,CLAVE DE LA INSTITUCION,ESTATUS DE OPERACION,LONGITUD,LATITUD
505,BCSMP001271,BAJA CALIFORNIA,SMP,EN OPERACION,-117.012551,32.520846
506,BCSMP001283,BAJA CALIFORNIA,SMP,EN OPERACION,-115.478517,32.644199
507,BCSMP001295,BAJA CALIFORNIA,SMP,EN OPERACION,-115.495553,32.642736
508,BCSMP001300,BAJA CALIFORNIA,SMP,EN OPERACION,-115.401863,32.582238
509,BCSMP001312,BAJA CALIFORNIA,SMP,EN OPERACION,-115.516445,32.639089
510,BCSMP001324,BAJA CALIFORNIA,SMP,EN OPERACION,-115.483994,32.664932
511,BCSMP001336,BAJA CALIFORNIA,SMP,EN OPERACION,-115.47526,32.664198
512,BCSMP001341,BAJA CALIFORNIA,SMP,EN OPERACION,-115.433489,32.651798
513,BCSMP001353,BAJA CALIFORNIA,SMP,EN OPERACION,-115.459189,32.665601
514,BCSMP001365,BAJA CALIFORNIA,SMP,EN OPERACION,-115.478786,32.654092
515,BCSMP001370,BAJA CALIFORNIA,SMP,EN OPERACION,-115.451319,32.662387
516,BCSMP001382,BAJA CALIFORNIA,SMP,EN OPERACION,-117.017328,32.523055
517,BCSMP001394,BAJA CALIFORNIA,SMP,EN OPERACION,-117.034711,32.534345
518,BCSMP001406,BAJA CALIFORNIA,SMP,EN OPERACION,-117.010651,32.531237
519,BCSMP001411,BAJA CALIFORNIA,SMP,EN OPERACION,-117.05597,32.341927
520,BCSMP001423,BAJA CALIFORNIA,SMP,EN OPERACION,-117.030252,32.520219
521,BCSMP001435,BAJA CALIFORNIA,SMP,EN OPERACION,-116.964243,32.461425
522,BCSMP001440,BAJA CALIFORNIA,SMP,EN OPERACION,-116.926886,32.52098
523,BCSMP001452,BAJA CALIFORNIA,SMP,EN OPERACION,-116.970955,32.50129
524,BCSMP001464,BAJA CALIFORNIA,SMP,EN OPERACION,-116.951423,32.488509
525,BCSMP001476,BAJA CALIFORNIA,SMP,EN OPERACION,-116.878947,32.513766
526,BCSMP001481,BAJA CALIFORNIA,SMP,EN OPERACION,-117.666303,32.571358
527,BCSMP001493,BAJA CALIFORNIA,SMP,EN OPERACION,-116.931155,32.54389
528,BCSMP001505,BAJA CALIFORNIA,SMP,EN OPERACION,-116.915071,32.449533
529,BCSMP001510,BAJA CALIFORNIA,SMP,EN OPERACION,-117.057228,32.511448
530,BCSMP001522,BAJA CALIFORNIA,SMP,EN OPERACION,-116.935038,32.544039
531,BCSMP001534,BAJA CALIFORNIA,SMP,EN OPERACION,-117.054666,32.533998
532,BCSMP001546,BAJA CALIFORNIA,SMP,EN OPERACION,-117.04723,32.53389
533,BCSMP001551,BAJA CALIFORNIA,SMP,EN OPERACION,-116.9101245,32.4627142
534,BCSMP001563,BAJA CALIFORNIA,SMP,EN OPERACION,-117.116784,32.518231
535,BCSMP001575,BAJA CALIFORNIA,SMP,EN OPERACION,-116.852429,32.512127
536,BCSMP001580,BAJA CALIFORNIA,SMP,EN OPERACION,-116.8349175,32.4717673
537,BCSMP001592,BAJA CALIFORNIA,SMP,EN OPERACION,-117.056469,32.340215
538,BCSMP001604,BAJA CALIFORNIA,SMP,EN OPERACION,-117.044,32.5347
539,BCSMP001616,BAJA CALIFORNIA,SMP,EN OPERACION,-116.911264,32.460831
540,BCSMP001621,BAJA CALIFORNIA,SMP,EN OPERACION,-117.007567,32.528186
541,BCSMP001633,BAJA CALIFORNIA,SMP,EN OPERACION,-117.002545,32.535065
542,BCSMP001645,BAJA CALIFORNIA,SMP,EN OPERACION,-117.047125,32.533448
543,BCSMP001650,BAJA CALIFORNIA,SMP,EN OPERACION,-116.894991,32.545286
544,BCSMP001662,BAJA CALIFORNIA,SMP,EN OPERACION,-117.059732,32.353649
545,BCSMP001674,BAJA CALIFORNIA,SMP,EN OPERACION,-117.031278,32.514028
546,BCSMP001686,BAJA CALIFORNIA,SMP,EN OPERACION,-117.032119,32.525936
547,BCSMP001691,BAJA CALIFORNIA,SMP,EN OPERACION,-116.919298,32.507132
548,BCSMP001703,BAJA CALIFORNIA,SMP,EN OPERACION,-116.981766,32.529446
549,BCSMP001715,BAJA CALIFORNIA,SMP,EN OPERACION,-116.971621,32.490656
550,BCSMP001720,BAJA CALIFORNIA,SMP,EN OPERACION,-116.987516,32.519799
551,BCSMP001732,BAJA CALIFORNIA,SMP,EN OPERACION,-117.028831,32.521074
553,BCSMP001756,BAJA CALIFORNIA,SMP,EN OPERACION,-116.980573,32.529292
557,BCSMP001790,BAJA CALIFORNIA,SMP,EN OPERACION,-116.976212,32.462053
559,BCSMP001814,BAJA CALIFORNIA,SMP,EN OPERACION,-117.053015,32.334781
561,BCSMP001831,BAJA CALIFORNIA,SMP,EN OPERACION,-116.858,32.5106
566,BCSMP001884,BAJA CALIFORNIA,SMP,EN OPERACION,-115.465854,32.665055
567,BCSMP001896,BAJA CALIFORNIA,SMP,EN OPERACION,-117.023593,32.433957
568,BCSMP001901,BAJA CALIFORNIA,SMP,EN OPERACION,-116.926203,32.478353
569,BCSMP001913,BAJA CALIFORNIA,SMP,EN OPERACION,-117.044,32.5347
570,BCSMP001925,BAJA CALIFORNIA,SMP,EN OPERACION,-117.041087,32.530467
571,BCSMP001930,BAJA CALIFORNIA,SMP,EN OPERACION,-117.11997,32.518645
